CD_Resp	transportador (grupo)	Cidade Cliente	pedido_gemco
1100	DOMICILIO	ANAPOLIS	1098196304
1100	DOMICILIO	APARECIDA DE GOIANIA	1098157951
1100	DOMICILIO	ANAPOLIS	1098195554
1100	DOMICILIO	GOIANIA	1098193478
1100	DOMICILIO	GOIANIA	1098107910
1100	DOMICILIO	GOIANIA	1098207770
1100	DOMICILIO	GOIANIA	1098154465
1100	DOMICILIO	GOIANIA	1098244468
1100	DOMICILIO	TRINDADE	1098235397
1100	DOMICILIO	GOIANIA	1098257263
1100	DOMICILIO	GOIANIA	1098257354
1100	DOMICILIO	ANAPOLIS	1098164233
1100	DOMICILIO	GOIANIA	1098110910
1100	DOMICILIO	ANAPOLIS	1098108511
1100	DOMICILIO	GOIANIA	1098103331
1100	DOMICILIO	APARECIDA DE GOIANIA	1098108212
1100	DOMICILIO	GOIANIA	1098108248
1100	DOMICILIO	APARECIDA DE GOIANIA	1098171405
1100	DOMICILIO	TRINDADE	1098216297
1100	DOMICILIO	APARECIDA DE GOIANIA	1098187327
1100	DOMICILIO	APARECIDA DE GOIANIA	1098199113
1100	DOMICILIO	APARECIDA DE GOIANIA	1098279390
1100	DOMICILIO	APARECIDA DE GOIANIA	1098279391
1100	DOMICILIO	ANAPOLIS	1098212910
1100	DOMICILIO	ANAPOLIS	1098240317
1100	DOMICILIO	GOIANIA	1098279678
1100	DOMICILIO	ANAPOLIS	1098239253
1100	DOMICILIO	GOIANIA	1098175826
1100	DOMICILIO	GOIANIA	1098194411
1100	DOMICILIO	GOIANIA	1098271106
1100	DOMICILIO	ANAPOLIS	1098267612
1100	DOMICILIO	ANAPOLIS	1098188100
1100	DOMICILIO	ANAPOLIS	1098151860
1100	DOMICILIO	GOIANIA	1098166696
1100	DOMICILIO	ANAPOLIS	1098279649
1100	DOMICILIO	ANAPOLIS	1098287326
1100	DOMICILIO	ANAPOLIS	1098270071
1100	DOMICILIO	GOIANIA	1098043492
1100	DOMICILIO	SENADOR CANEDO	1098032283
1100	DOMICILIO	GOIANIA	1098143791
1100	DOMICILIO	APARECIDA DE GOIANIA	1098261470
1100	DOMICILIO	GOIANIA	1098272275
1100	DOMICILIO	GOIANIA	1098148220
1100	DOMICILIO	GOIANIA	1098260612
1100	DOMICILIO	APARECIDA DE GOIANIA	1098177544
1100	DOMICILIO	GOIANIA	1098233586
1100	DOMICILIO	GOIANIA	1098210034
1100	DOMICILIO	GOIANIA	1098211585
1100	DOMICILIO	APARECIDA DE GOIANIA	1098144427
1100	DOMICILIO	GOIANIA	1098208900
1100	DOMICILIO	APARECIDA DE GOIANIA	1098257301
1100	DOMICILIO	GOIANIA	1098114415
1100	DOMICILIO	GOIANIA	1098168628
1100	DOMICILIO	GOIANIA	1098234922
1100	DOMICILIO	GOIANIA	1098114322
1100	DOMICILIO	APARECIDA DE GOIANIA	1098112391
1100	DOMICILIO	GOIANIA	1098114274
1100	DOMICILIO	GOIANIA	1098110427
1100	DOMICILIO	SENADOR CANEDO	1098104785
1100	DOMICILIO	GOIANIA	1098105860
1100	DOMICILIO	GOIANIA	1098108180
1100	DOMICILIO	TRINDADE	1098113207
1100	DOMICILIO	APARECIDA DE GOIANIA	1098103685
1100	DOMICILIO	GOIANIA	1098103445
1100	DOMICILIO	ANAPOLIS	1098114618
1100	DOMICILIO	ANAPOLIS	1098199547
1100	DOMICILIO	GOIANIA	1098231032
1100	DOMICILIO	GOIANIA	1098277241
1100	DOMICILIO	SENADOR CANEDO	1098039520
1100	DOMICILIO	SENADOR CANEDO	1098105465
1100	DOMICILIO	GOIANIA	1098108009
1100	DOMICILIO	GOIANIA	1098234946
1100	DOMICILIO	ANAPOLIS	1098277826
1100	DOMICILIO	SENADOR CANEDO	1098257231
1100	DOMICILIO	GOIANIA	1098187153
1100	DOMICILIO	ANAPOLIS	1098255248
1100	DOMICILIO	ANAPOLIS	1098233585
1100	DOMICILIO	GOIANIA	1098200348
1100	DOMICILIO	GOIANIA	1098226205
1100	DOMICILIO	GOIANIA	1098129351
1100	DOMICILIO	GOIANIA	1098222716
1100	DOMICILIO	GOIANIA	1098162479
1100	DOMICILIO	GOIANIA	1098258456
1100	DOMICILIO	TRINDADE	1098173094
1100	DOMICILIO	ANAPOLIS	1098214723
1100	DOMICILIO	GOIANIA	1098181898
1100	DOMICILIO	GOIANIA	1098186133
1100	DOMICILIO	GOIANIA	1098212082
1100	DOMICILIO	SENADOR CANEDO	1098231399
1100	DOMICILIO	ANAPOLIS	1098229614
1100	DOMICILIO	GOIANIA	1098170808
1100	DOMICILIO	GOIANIA	1098266242
1100	DOMICILIO	GOIANIA	1098154153
1100	DOMICILIO	GOIANIA	1098213117
1100	DOMICILIO	GOIANIA	1098197557
1100	DOMICILIO	GOIANIA	1098226702
1100	DOMICILIO	APARECIDA DE GOIANIA	1098219465
1100	DOMICILIO	APARECIDA DE GOIANIA	1098169987
1100	DOMICILIO	SENADOR CANEDO	1098115195
1100	DOMICILIO	GOIANIA	1098109864
1100	DOMICILIO	SENADOR CANEDO	1098103341
1100	DOMICILIO	TRINDADE	1098170639
1100	DOMICILIO	GOIANIA	1098141774
1100	DOMICILIO	GOIANIA	1098168573
1100	DOMICILIO	GOIANIA	1098110856
1100	DOMICILIO	GOIANIA	1098086668
1100	DOMICILIO	APARECIDA DE GOIANIA	1098044107
1100	DOMICILIO	GOIANIA	1098080481
1100	DOMICILIO	GOIANIA	1098055426
1100	DOMICILIO	GOIANIA	1098059773
1100	DOMICILIO	HIDROLANDIA	1095936658
