CD_Resp	transportador (grupo)	Cidade Cliente	pedido_gemco
1100	DOMICILIO	GOIANIA	1099678788
1100	DOMICILIO	GOIANIA	1099645101
1100	DOMICILIO	GOIANIA	1099692320
1100	DOMICILIO	GOIANIA	1099600070
1100	DOMICILIO	GOIANIA	1099692215
1100	DOMICILIO	GOIANIA	1099693400
1100	DOMICILIO	GOIANIA	1099666469
1100	DOMICILIO	GOIANIA	1099670071
1100	DOMICILIO	GOIANIA	1099599263
1100	DOMICILIO	ANAPOLIS	1099638905
1100	DOMICILIO	GOIANIA	1099579799
1100	DOMICILIO	ANAPOLIS	1099650048
1100	DOMICILIO	APARECIDA DE GOIANIA	1099622096
1100	DOMICILIO	GOIANIA	1099646936
1100	DOMICILIO	GOIANIA	1099664012
1100	DOMICILIO	ANAPOLIS	1099603421
1100	DOMICILIO	GOIANIA	1099645586
1100	DOMICILIO	ANAPOLIS	1099495108
1100	DOMICILIO	GOIANIA	1099511207
1100	DOMICILIO	GOIANIA	1099471058
1100	DOMICILIO	GOIANIA	1099494819
1100	DOMICILIO	TRINDADE	1099489012
1100	DOMICILIO	ANAPOLIS	1099628673
1100	DOMICILIO	GOIANIA	1099673241
1100	DOMICILIO	GOIANIA	1099499420
1100	DOMICILIO	APARECIDA DE GOIANIA	1099502200
1100	DOMICILIO	TRINDADE	1099502864
1100	DOMICILIO	GOIANIA	1099579128
1100	DOMICILIO	GOIANIA	1099654180
1100	DOMICILIO	GOIANIA	1099501469
1100	DOMICILIO	GOIANIA	1099488527
1100	DOMICILIO	GOIANIA	1099499466
1100	DOMICILIO	GOIANIA	1099503543
1100	DOMICILIO	GOIANIA	1099512167
1100	DOMICILIO	BELA VISTA DE GOIAS	1098102453
1100	DOMICILIO	TRINDADE	1099604889
1100	DOMICILIO	GOIANIA	1099668658
1100	DOMICILIO	APARECIDA DE GOIANIA	1099618591
1100	DOMICILIO	GOIANIA	1099570031
1100	DOMICILIO	TRINDADE	1099598910
1100	DOMICILIO	APARECIDA DE GOIANIA	1099614041
1100	DOMICILIO	GOIANIA	1099677816
1100	DOMICILIO	APARECIDA DE GOIANIA	1099587170
1100	DOMICILIO	TRINDADE	1099612556
1100	DOMICILIO	APARECIDA DE GOIANIA	1099694269
1100	DOMICILIO	APARECIDA DE GOIANIA	1099691877
1100	DOMICILIO	GOIANIA	1099571050
1100	DOMICILIO	APARECIDA DE GOIANIA	1099697594
1100	DOMICILIO	GOIANIA	1099489284
1100	DOMICILIO	APARECIDA DE GOIANIA	1099499759
1100	DOMICILIO	GOIANIA	1099489593
1100	DOMICILIO	GOIANIA	1099624428
1100	DOMICILIO	GOIANIA	1099644438
1100	DOMICILIO	ANAPOLIS	1099578810
1100	DOMICILIO	GOIANIA	1099686245
1100	DOMICILIO	SENADOR CANEDO	1099571491
1100	DOMICILIO	GOIANIA	1099603796
1100	DOMICILIO	ANAPOLIS	1099684449
1100	DOMICILIO	GOIANIA	1099689445
1100	DOMICILIO	ANAPOLIS	1099626099
1100	DOMICILIO	ANAPOLIS	1099573452
1100	DOMICILIO	ANAPOLIS	1099657716
1100	DOMICILIO	GOIANIA	1099647366
1100	DOMICILIO	GOIANIA	1099596247
1100	DOMICILIO	GOIANIA	1099669600
1100	DOMICILIO	ANAPOLIS	1099572794
1100	DOMICILIO	ANAPOLIS	1099595131
1100	DOMICILIO	ANAPOLIS	1099573140
1100	DOMICILIO	ANAPOLIS	1099656435
1100	DOMICILIO	ANAPOLIS	1099572288
1100	DOMICILIO	ANAPOLIS	1099578809
1100	DOMICILIO	SENADOR CANEDO	1099680728
1100	DOMICILIO	ANAPOLIS	1099681673
1100	DOMICILIO	GOIANIA	1099600483
1100	DOMICILIO	ANAPOLIS	1099683284
1100	DOMICILIO	GOIANIA	1099389899
