CD_Resp	transportador (grupo)	Cidade Cliente	pedido_gemco
1100	DOMICILIO	SANTA BARBARA DE GOIAS	1101636148
1100	DOMICILIO	GOIANIA	1096258498
1100	DOMICILIO	GOIANIA	1103381975
1100	DOMICILIO	GOIANIA	1103380688
1100	DOMICILIO	APARECIDA DE GOIANIA	1103278675
1100	DOMICILIO	GOIANIA	1103376186
1100	DOMICILIO	APARECIDA DE GOIANIA	1103338339
1100	DOMICILIO	GOIANIA	1103404614
1100	DOMICILIO	GOIANIA	1103397041
1100	DOMICILIO	GOIANIA	1103533019
1100	DOMICILIO	GOIANIA	1103521101
1100	DOMICILIO	GOIANIA	1103410322
1100	DOMICILIO	GOIANIA	1103571054
1100	DOMICILIO	GOIANIA	1103610645
1100	DOMICILIO	TRINDADE	1103545497
1100	DOMICILIO	GOIANIA	1103428894
1100	DOMICILIO	SENADOR CANEDO	1103461958
1100	DOMICILIO	GOIANIA	1103568099
1100	DOMICILIO	GOIANIA	1103388138
1100	DOMICILIO	GOIANIA	1103581558
1100	DOMICILIO	APARECIDA DE GOIANIA	1103578009
1100	DOMICILIO	SENADOR CANEDO	1103455496
1100	DOMICILIO	GOIANIA	1103494881
1100	DOMICILIO	GOIANIA	1103485240
1100	DOMICILIO	TRINDADE	1103564775
1100	DOMICILIO	GOIANIA	1103443865
1100	DOMICILIO	ITUMBIARA	1101324957
1100	DOMICILIO	GOIANIA	1103405179
1100	DOMICILIO	GOIANIA	1103408574
1100	DOMICILIO	TRINDADE	1103514620
1100	DOMICILIO	GOIANIA	1103575768
1100	DOMICILIO	GOIANIA	1103568126
1100	DOMICILIO	GOIANIA	1103545856
1100	DOMICILIO	GOIANIA	1103421860
1100	DOMICILIO	SENADOR CANEDO	1103554229
1100	DOMICILIO	GOIANIA	1103545515
1100	DOMICILIO	GOIANIA	1103477102
1100	DOMICILIO	APARECIDA DE GOIANIA	1103504298
1100	DOMICILIO	GOIANIA	1103499606
1100	DOMICILIO	GOIANIA	1103503840
1100	DOMICILIO	APARECIDA DE GOIANIA	1103405383
1100	DOMICILIO	APARECIDA DE GOIANIA	1103389307
1100	DOMICILIO	APARECIDA DE GOIANIA	1103397062
1100	DOMICILIO	SENADOR CANEDO	1103400502
1100	DOMICILIO	GOIANIA	1103396417
1100	DOMICILIO	GOIANIA	1103391615
1100	DOMICILIO	GOIANIA	1103396670
1100	DOMICILIO	APARECIDA DE GOIANIA	1103411841
1100	DOMICILIO	GOIANIA	1103545392
1100	DOMICILIO	SENADOR CANEDO	1103491440
1100	DOMICILIO	GOIANIA	1103582288
1100	DOMICILIO	GOIANIA	1103410234
1100	DOMICILIO	TRINDADE	1103395688
1100	DOMICILIO	APARECIDA DE GOIANIA	1103484417
1100	DOMICILIO	GOIANIA	1103433086
1100	DOMICILIO	GOIANIA	1103490585
1100	DOMICILIO	APARECIDA DE GOIANIA	1103392920
1100	DOMICILIO	APARECIDA DE GOIANIA	1103544575
1100	DOMICILIO	GOIANIA	1103459410
1100	DOMICILIO	APARECIDA DE GOIANIA	1103573010
1100	DOMICILIO	ITUMBIARA	1101203746
1100	DOMICILIO	ANAPOLIS	1103090147
1100	DOMICILIO	GOIANIA	1103525839
1100	DOMICILIO	GOIANIA	1103428978
1100	DOMICILIO	SENADOR CANEDO	1103460324
1100	DOMICILIO	TRINDADE	1103557346
1100	DOMICILIO	GOIANIA	1103429381
1100	DOMICILIO	GOIANIA	1103466136
1100	DOMICILIO	GOIANIA	1103397440
1100	DOMICILIO	SENADOR CANEDO	1103400391
1100	DOMICILIO	GOIANIA	1103394368
1100	DOMICILIO	GOIANIA	1103395861
1100	DOMICILIO	TRINDADE	1103545888
1100	DOMICILIO	APARECIDA DE GOIANIA	1103515369
1100	DOMICILIO	GOIANIA	1103427914
1100	DOMICILIO	APARECIDA DE GOIANIA	1103568022
