"""CD_Resp"	cidade_cliente	transportador	"PEDIDO 1P/FULL"""
"""1100"	GOIANIA	PORTA APO	"1115971792"""
"""1100"	GOIANIA	PORTA APO	"1116115099"""
"""1100"	GOIANIA	PORTA APO	"1116051634"""
"""1100"	GOIANIA	PORTA APO	"1116111441"""
"""1100"	GOIANIA	PORTA APO	"1116116815"""
"""1100"	GOIANIA	PORTA APO	"1116021421"""
"""1100"	GOIANIA	PORTA APO	"1116044517"""
"""1100"	GOIANIA	PORTA APO	"1115853974"""
"""1100"	ANAPOLIS	PORTA APO	"1115897650"""
"""1100"	GOIANIA	PORTA APO	"1116002959"""
"""1100"	ANAPOLIS	PORTA APO	"1116133636"""
"""1100"	GOIANIA	PORTA APO	"1115845200"""
"""1100"	GAMELEIRA DE GOIAS	PORTA APO	"1114248879"""
"""1100"	GOIANIA	PORTA APO	"1115913338"""
"""1100"	GOIANIA	PORTA APO	"1115913339"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115872117"""
"""1100"	GOIANIA	PORTA APO	"1116107537"""
"""1100"	GOIANIA	PORTA APO	"1115915618"""
"""1100"	GOIANIA	PORTA APO	"1115911066"""
"""1100"	ANAPOLIS	PORTA APO	"1116053435"""
"""1100"	GOIANIA	PORTA APO	"1116035367"""
"""1100"	GOIANIA	PORTA APO	"1116046126"""
"""1100"	ANAPOLIS	PORTA APO	"1115997718"""
"""1100"	SENADOR CANEDO	PORTA APO	"1116080603"""
"""1100"	ANAPOLIS	PORTA APO	"1115952831"""
"""1100"	GOIANIA	PORTA APO	"1115995764"""
"""1100"	GOIANIA	PORTA APO	"1115860834"""
"""1100"	GOIANIA	PORTA APO	"1115989471"""
"""1100"	ANAPOLIS	PORTA APO	"1115893250"""
"""1100"	ANAPOLIS	PORTA APO	"1116026582"""
"""1100"	ANAPOLIS	PORTA APO	"1115853523"""
"""1100"	GOIANIA	PORTA APO	"1115891125"""
"""1100"	GOIANIA	PORTA APO	"1115907886"""
"""1100"	GOIANIA	PORTA APO	"1115927847"""
"""1100"	SENADOR CANEDO	PORTA APO	"1116012539"""
"""1100"	GOIANIA	PORTA APO	"1116084164"""
"""1100"	ANAPOLIS	PORTA APO	"1116084170"""
"""1100"	GOIANIA	PORTA APO	"1115930795"""
"""1100"	GOIANIA	PORTA APO	"1116102799"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115986627"""
"""1100"	GOIANIA	PORTA APO	"1115891629"""
"""1100"	ANAPOLIS	PORTA APO	"1116053436"""
"""1100"	ANAPOLIS	PORTA APO	"1115889408"""
"""1100"	GOIANIA	PORTA APO	"1115931904"""
"""1100"	GOIANIA	PORTA APO	"1116070827"""
"""1100"	TRINDADE	PORTA APO	"1116116441"""
"""1100"	ANAPOLIS	PORTA APO	"1116019305"""
"""1100"	GOIANIA	PORTA APO	"1116109105"""
"""1100"	GOIANIA	PORTA APO	"1115801569"""
"""1100"	GOIANIA	PORTA APO	"1115955314"""
"""1100"	ABADIANIA	PORTA APO	"1114440815"""
"""1100"	GOIANIA	PORTA APO	"1116019967"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115877678"""
"""1100"	ANAPOLIS	PORTA APO	"1116074810"""
"""1100"	ANAPOLIS	PORTA APO	"1115868844"""
"""1100"	SENADOR CANEDO	PORTA APO	"1115972210"""
"""1100"	GOIANIA	PORTA APO	"1115872348"""
"""1100"	SENADOR CANEDO	PORTA APO	"1115873420"""
"""1100"	ANAPOLIS	PORTA APO	"1116019563"""
"""1100"	ANAPOLIS	PORTA APO	"1115945746"""
"""1100"	GOIANIA	PORTA APO	"1116094521"""
"""1100"	GOIANIA	PORTA APO	"1115931325"""
"""1100"	ANAPOLIS	PORTA APO	"1115998763"""
"""1100"	GOIANIA	PORTA APO	"1115942033"""
"""1100"	GOIANIA	PORTA APO	"1115858389"""
"""1100"	ANAPOLIS	PORTA APO	"1115979114"""
"""1100"	ANAPOLIS	PORTA APO	"1115950043"""
"""1100"	ANAPOLIS	PORTA APO	"1115916828"""
"""1100"	ANAPOLIS	PORTA APO	"1116052753"""
"""1100"	ANAPOLIS	PORTA APO	"1115894128"""
"""1100"	SENADOR CANEDO	PORTA APO	"1116079868"""
"""1100"	GOIANIA	PORTA APO	"1116098935"""
"""1100"	GOIANIA	PORTA APO	"1115917680"""
"""1100"	GOIANIA	PORTA APO	"1115954463"""
"""1100"	GOIANIA	PORTA APO	"1116021739"""
"""1100"	GOIANIA	PORTA APO	"1115961938"""
"""1100"	SENADOR CANEDO	PORTA APO	"1116001871"""
"""1100"	ANAPOLIS	PORTA APO	"1116028372"""
"""1100"	GOIANIA	PORTA APO	"1115995682"""
"""1100"	GOIANIA	PORTA APO	"1116078239"""
"""1100"	ANAPOLIS	PORTA APO	"1115869790"""
"""1100"	ANAPOLIS	PORTA APO	"1116045251"""
"""1100"	ANAPOLIS	PORTA APO	"1115990239"""
"""1100"	GOIANIA	PORTA APO	"1115931905"""
"""1100"	GOIANIA	PORTA APO	"1115963006"""
"""1100"	GOIANIA	PORTA APO	"1115881211"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115910569"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115891167"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115870278"""
"""1100"	GOIANIA	PORTA APO	"1116100621"""
"""1100"	GOIANIA	PORTA APO	"1115920106"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115912769"""
"""1100"	GOIANIA	PORTA APO	"1116037263"""
"""1100"	GOIANIA	PORTA APO	"1116067982"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1116018957"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115897117"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115996017"""
"""1100"	TRINDADE	PORTA APO	"1115913545"""
"""1100"	TRINDADE	PORTA APO	"1116053297"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1116054850"""
"""1100"	TRINDADE	PORTA APO	"1116045453"""
"""1100"	GOIANIA	PORTA APO	"1116067983"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1116050614"""
"""1100"	ARAGOIANIA	PORTA APO	"1113600277"""
"""1100"	TRINDADE	PORTA APO	"1116062141"""
"""1100"	GOIANIA	PORTA APO	"1116034156"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1116025214"""
"""1100"	TRINDADE	PORTA APO	"1115993894"""
"""1100"	GOIANIA	PORTA APO	"1115926765"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1116054851"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115926584"""
"""1100"	TRINDADE	PORTA APO	"1115966315"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1116015038"""
"""1100"	GOIANIA	PORTA APO	"1115881878"""
"""1100"	SENADOR CANEDO	PORTA APO	"1115988587"""
"""1100"	GOIANIA	PORTA APO	"1115974197"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115995535"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115822694"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115858964"""
"""1100"	GOIANIA	PORTA APO	"1116120334"""
"""1100"	GOIANIA	PORTA APO	"1116055174"""
"""1100"	GOIANIA	PORTA APO	"1116120507"""
